listing_id,calendar_updated,from_date,availability_30,availability_60,availability_90
8760014,7 months ago,2016-05-21,2,9,35
11945010,today,2016-05-21,2,17,44
12357603,a week ago,2016-05-21,14,35,65
9409334,6 months ago,2016-05-21,0,0,0
3127569,6 months ago,2016-05-21,0,0,0
10747925,5 days ago,2016-05-18,14,31,52
9944575,today,2016-05-21,9,9,19
10342358,2 months ago,2016-05-17,20,46,76
7384329,3 weeks ago,2016-05-17,7,23,53
12713839,a week ago,2016-05-17,13,39,69
9967909,4 weeks ago,2016-05-18,0,0,0
10102671,today,2016-05-19,11,11,11
10828998,today,2016-05-20,12,32,48
5124554,yesterday,2016-05-21,5,24,52
7346340,5 days ago,2016-05-17,15,33,63
11712419,2 days ago,2016-05-18,16,42,72
12403742,6 days ago,2016-05-18,11,37,67
8951999,today,2016-05-18,6,16,36
7037572,today,2016-05-20,14,20,25
2986263,today,2016-05-21,4,15,31
7182072,yesterday,2016-05-21,17,36,66
11655676,5 days ago,2016-05-17,0,0,12
3780833,today,2016-05-19,0,0,0
12738801,a week ago,2016-05-17,10,22,26
4126567,2 months ago,2016-05-19,0,0,0
1828462,today,2016-05-20,8,20,45
10338411,2 days ago,2016-05-21,0,5,10
5794938,today,2016-05-18,7,17,22
5336199,yesterday,2016-05-19,9,21,46
11317567,today,2016-05-20,13,32,60
4604416,yesterday,2016-05-21,12,14,14
863658,today,2016-05-20,2,2,2
7914288,3 weeks ago,2016-05-18,1,15,25
686,a week ago,2016-05-17,8,21,49
21745,4 days ago,2016-05-17,9,24,54
21746,a week ago,2016-05-17,6,19,32
9594775,5 months ago,2016-05-17,0,0,0
7557038,yesterday,2016-05-18,16,38,61
7900081,2 days ago,2016-05-18,3,12,13
8829509,6 months ago,2016-05-19,0,0,0
9759888,4 weeks ago,2016-05-20,10,39,69
7837109,2 days ago,2016-05-21,14,40,67
8146187,2 months ago,2016-05-20,22,52,82
12700371,a week ago,2016-05-17,1,7,17
10041779,7 weeks ago,2016-05-19,0,0,16
11304960,3 days ago,2016-05-20,3,9,28
11376125,a week ago,2016-05-21,4,14,30
7205120,yesterday,2016-05-21,0,8,12
6226492,8 months ago,2016-05-19,0,0,0
6516488,6 days ago,2016-05-18,0,0,10
10213507,yesterday,2016-05-18,2,8,28
12346539,a week ago,2016-05-19,17,42,72
3842915,2 weeks ago,2016-05-19,2,2,5
11462157,7 weeks ago,2016-05-20,2,4,4
12346496,1 week ago,2016-05-20,0,21,51
5204862,today,2016-05-20,15,21,21
7663335,2 weeks ago,2016-05-20,2,12,25
2968873,a week ago,2016-05-20,0,0,1
12967958,2 days ago,2016-05-21,0,2,3
10617638,today,2016-05-17,0,0,0
10223455,a week ago,2016-05-21,10,33,63
5491785,4 weeks ago,2016-05-18,10,32,62
8633581,a week ago,2016-05-18,0,0,0
8211278,yesterday,2016-05-20,12,22,44
9385707,4 months ago,2016-05-21,0,0,0
9907106,2 days ago,2016-05-19,0,5,7
8173876,today,2016-05-20,12,22,44
5558735,today,2016-05-20,0,12,34
6044888,2 days ago,2016-05-20,17,43,71
1206516,5 days ago,2016-05-17,0,2,2
1290750,2 weeks ago,2016-05-18,0,25,55
2670457,a week ago,2016-05-18,20,45,75
10500579,4 days ago,2016-05-17,2,8,16
1085963,today,2016-05-17,26,56,86
4241315,today,2016-05-17,7,21,43
8458425,today,2016-05-17,27,52,82
2185475,today,2016-05-17,30,60,90
12738512,today,2016-05-17,2,9,21
12826244,today,2016-05-18,0,3,3
4846781,today,2016-05-19,25,48,78
12224465,yesterday,2016-05-19,5,14,40
1397998,today,2016-05-20,25,55,85
1398858,today,2016-05-20,15,40,70
7359292,3 weeks ago,2016-05-17,2,4,4
11039920,2 months ago,2016-05-18,0,0,0
6950069,a week ago,2016-05-19,11,23,53
8684680,4 days ago,2016-05-20,3,24,52
12362960,5 weeks ago,2016-05-20,0,0,0
9810207,today,2016-05-21,4,23,38
11414337,today,2016-05-21,17,36,66
13016382,today,2016-05-21,19,20,20
9315837,3 months ago,2016-05-21,0,0,0
7004221,3 days ago,2016-05-19,12,22,48
3820091,3 days ago,2016-05-20,7,19,19
8303248,5 months ago,2016-05-21,0,0,0
2331868,today,2016-05-18,12,28,54
2857558,today,2016-05-20,15,34,64
10203176,3 months ago,2016-05-20,12,35,60
3469311,today,2016-05-21,9,28,58
8445895,today,2016-05-17,13,26,55
10927718,today,2016-05-18,22,52,79
8953415,2 weeks ago,2016-05-18,19,38,65
9016184,yesterday,2016-05-19,8,8,8
12199671,2 days ago,2016-05-19,16,37,63
10392285,today,2016-05-19,3,9,21
1790072,6 months ago,2016-05-20,19,40,68
10371027,2 weeks ago,2016-05-21,9,23,49
1471133,4 days ago,2016-05-21,11,30,55
3094012,today,2016-05-21,9,19,41
12019269,2 weeks ago,2016-05-21,2,2,2
7651524,today,2016-05-20,8,12,30
11145951,3 days ago,2016-05-19,5,13,23
2895406,2 weeks ago,2016-05-18,9,26,47
9515084,today,2016-05-17,4,16,46
6357426,5 days ago,2016-05-17,1,6,12
4781785,2 weeks ago,2016-05-18,3,7,17
5890061,5 days ago,2016-05-20,8,24,45
5720681,4 days ago,2016-05-21,12,33,56
5720614,a week ago,2016-05-21,16,37,62
7698067,3 weeks ago,2016-05-17,2,7,24
12012005,today,2016-05-17,11,38,64
4465110,today,2016-05-18,5,13,37
10106457,5 months ago,2016-05-19,0,0,0
11324089,today,2016-05-20,16,29,59
7053296,today,2016-05-21,8,33,58
13035253,yesterday,2016-05-21,10,37,61
8869376,yesterday,2016-05-21,2,6,16
12693460,3 weeks ago,2016-05-17,0,0,0
2359615,3 weeks ago,2016-05-18,7,14,30
7114768,a week ago,2016-05-20,17,42,72
958612,4 weeks ago,2016-05-20,17,31,61
6689346,a week ago,2016-05-20,1,1,1
12400738,3 weeks ago,2016-05-19,12,12,13
7345968,2 weeks ago,2016-05-17,11,27,27
11551054,today,2016-05-17,9,35,65
11552109,today,2016-05-17,30,60,90
11551893,today,2016-05-17,23,48,78
11549720,today,2016-05-17,18,44,74
5337396,2 weeks ago,2016-05-17,19,33,50
236207,today,2016-05-18,10,27,52
3779241,today,2016-05-19,10,26,52
4840715,today,2016-05-19,24,51,81
12243414,yesterday,2016-05-19,1,16,16
8130763,today,2016-05-20,17,28,41
2493238,today,2016-05-20,19,49,79
2495026,today,2016-05-20,25,55,85
11498092,5 days ago,2016-05-20,1,10,14
6090213,today,2016-05-20,17,47,77
8207106,4 months ago,2016-05-20,0,0,0
4669143,5 weeks ago,2016-05-21,0,0,25
12582440,3 days ago,2016-05-21,10,23,23
8506823,a week ago,2016-05-17,18,45,75
8553634,3 days ago,2016-05-18,4,25,43
5786495,3 days ago,2016-05-18,4,17,41
9993647,a week ago,2016-05-18,19,38,63
582493,a week ago,2016-05-18,11,34,64
7921789,4 days ago,2016-05-18,7,23,46
10852274,3 weeks ago,2016-05-18,18,48,78
10040454,5 months ago,2016-05-18,0,0,0
7948213,2 weeks ago,2016-05-19,0,4,11
9215362,5 weeks ago,2016-05-20,19,33,54
10858052,today,2016-05-21,11,17,34
11069719,5 weeks ago,2016-05-18,30,57,87
7800259,8 months ago,2016-05-17,0,0,0
11373734,a week ago,2016-05-17,17,30,53
4377482,yesterday,2016-05-18,9,14,14
5385231,today,2016-05-19,3,12,22
10272053,3 months ago,2016-05-20,14,29,37
12926107,3 days ago,2016-05-20,2,3,15
7200594,2 weeks ago,2016-05-21,12,33,49
12832491,6 days ago,2016-05-18,0,10,40
11610982,4 days ago,2016-05-17,2,7,14
12068313,7 weeks ago,2016-05-18,30,60,90
12148415,3 days ago,2016-05-19,0,0,2
3828739,2 months ago,2016-05-19,18,48,78
7130898,today,2016-05-20,12,28,57
5010213,today,2016-05-20,4,17,25
12704191,2 weeks ago,2016-05-17,6,19,42
11758447,1 week ago,2016-05-18,11,29,48
5825579,3 weeks ago,2016-05-18,0,5,8
10162586,a week ago,2016-05-19,12,27,51
12309981,2 days ago,2016-05-20,9,22,30
10308837,a week ago,2016-05-20,23,53,83
11844534,today,2016-05-20,14,33,58
10398635,yesterday,2016-05-21,14,30,42
10927436,today,2016-05-21,17,40,63
4710855,yesterday,2016-05-21,9,29,45
9262766,yesterday,2016-05-20,14,29,42
10927867,today,2016-05-18,27,57,82
7023889,2 months ago,2016-05-18,0,0,0
10719964,yesterday,2016-05-18,23,42,62
7576503,today,2016-05-18,6,18,27
5019670,today,2016-05-20,4,12,18
11584604,2 weeks ago,2016-05-17,0,9,23
7603546,a week ago,2016-05-18,16,24,24
1822905,a week ago,2016-05-18,18,40,63
8961978,2 weeks ago,2016-05-18,2,9,26
8995074,today,2016-05-19,9,19,38
10221939,6 weeks ago,2016-05-20,18,33,59
12367392,yesterday,2016-05-20,0,4,11
6062773,yesterday,2016-05-20,6,20,48
12376316,a week ago,2016-05-20,12,20,43
8183443,today,2016-05-20,6,23,23
3026474,24 months ago,2016-05-21,0,0,0
2045010,today,2016-05-21,9,31,58
7499121,a week ago,2016-05-18,7,14,37
8654128,2 weeks ago,2016-05-18,10,13,27
8934998,2 weeks ago,2016-05-18,8,15,29
12851211,today,2016-05-20,6,29,59
283162,today,2016-05-20,3,13,22
12564868,yesterday,2016-05-21,10,23,50
4940865,today,2016-05-20,27,45,45
2250084,2 weeks ago,2016-05-17,0,0,0
2329530,2 weeks ago,2016-05-18,6,17,47
1436464,never,2016-05-20,30,60,90
1422518,a week ago,2016-05-21,22,22,22
746298,2 weeks ago,2016-05-20,20,25,50
12207545,3 days ago,2016-05-19,0,4,4
7095414,2 weeks ago,2016-05-20,0,4,12
1398793,today,2016-05-17,16,30,49
11552322,today,2016-05-17,19,49,79
10518247,today,2016-05-17,18,48,78
10522620,today,2016-05-17,24,54,84
4249199,today,2016-05-17,20,47,77
11592886,4 days ago,2016-05-17,11,41,71
6362558,today,2016-05-17,8,9,32
10522331,today,2016-05-17,30,60,90
4280515,5 weeks ago,2016-05-17,9,30,56
1086049,today,2016-05-17,19,43,73
4344095,a week ago,2016-05-17,3,7,21
7900262,8 months ago,2016-05-18,0,0,0
9331689,5 months ago,2016-05-18,0,0,0
12069392,2 weeks ago,2016-05-18,4,16,33
5793334,today,2016-05-18,30,60,90
4637460,2 months ago,2016-05-18,0,17,47
1635882,today,2016-05-18,0,0,0
6131929,today,2016-05-19,30,60,90
12171007,today,2016-05-19,28,56,78
6940935,a week ago,2016-05-19,16,28,34
9062588,today,2016-05-19,3,4,12
8306007,4 months ago,2016-05-19,0,0,10
9108143,2 weeks ago,2016-05-19,1,7,12
5568940,today,2016-05-20,27,57,87
11362868,5 weeks ago,2016-05-20,0,0,0
5568941,today,2016-05-21,21,51,81
6694340,12 months ago,2016-05-21,0,0,0
8812965,7 months ago,2016-05-21,0,0,0
9340689,5 months ago,2016-05-21,0,0,0
3662443,2 days ago,2016-05-21,1,1,1
8799913,5 weeks ago,2016-05-21,19,40,70
11078469,a week ago,2016-05-18,5,13,25
5500958,today,2016-05-18,0,0,0
7351005,today,2016-05-17,2,2,2
8479035,a week ago,2016-05-17,0,15,45
4288813,3 weeks ago,2016-05-17,5,9,28
98008,5 days ago,2016-05-17,10,24,41
10612679,6 weeks ago,2016-05-17,0,0,0
8518016,a week ago,2016-05-17,0,12,30
10455041,4 days ago,2016-05-18,0,5,6
3344184,yesterday,2016-05-18,4,21,51
7580227,2 weeks ago,2016-05-18,0,0,0
9006753,today,2016-05-19,0,12,17
5862429,5 days ago,2016-05-19,0,0,5
98014,a week ago,2016-05-19,17,31,48
12172692,3 days ago,2016-05-19,17,30,30
8969110,5 weeks ago,2016-05-19,2,2,2
9250245,6 days ago,2016-05-19,6,20,32
4558855,yesterday,2016-05-20,2,10,22
732845,today,2016-05-20,13,19,36
786126,6 weeks ago,2016-05-20,0,0,7
7093497,2 months ago,2016-05-20,0,0,0
10786894,2 days ago,2016-05-20,2,4,4
11356130,today,2016-05-20,11,26,56
12990793,3 days ago,2016-05-20,8,28,52
4021341,today,2016-05-20,1,7,21
361215,4 weeks ago,2016-05-21,0,0,29
7750336,today,2016-05-21,3,9,18
9324713,3 weeks ago,2016-05-21,0,5,32
3522681,3 weeks ago,2016-05-21,20,45,75
9293826,today,2016-05-21,0,0,9
1006047,5 weeks ago,2016-05-21,11,18,31
1035821,today,2016-05-21,10,25,51
3140044,2 weeks ago,2016-05-21,0,0,0
11434384,today,2016-05-21,22,44,66
4227772,4 days ago,2016-05-17,8,30,60
12685709,today,2016-05-17,16,30,35
5784322,5 days ago,2016-05-17,5,10,22
4311443,3 weeks ago,2016-05-17,4,15,23
12753757,a week ago,2016-05-18,4,13,27
10674874,2 weeks ago,2016-05-18,3,7,12
12068403,2 weeks ago,2016-05-18,3,9,22
5781808,6 days ago,2016-05-18,2,17,38
3686629,2 days ago,2016-05-18,14,14,25
12157301,yesterday,2016-05-19,1,9,16
12545643,today,2016-05-19,2,5,7
9576835,yesterday,2016-05-19,6,17,43
6796745,3 weeks ago,2016-05-19,14,30,45
4685984,18 months ago,2016-05-20,30,60,90
12407370,a week ago,2016-05-20,10,22,52
8668154,8 months ago,2016-05-20,0,0,0
12362880,today,2016-05-20,3,3,3
11338921,today,2016-05-20,1,4,4
427718,yesterday,2016-05-21,1,13,34
962520,3 weeks ago,2016-05-21,0,0,0
8306400,4 days ago,2016-05-21,2,11,25
4534587,2 days ago,2016-05-21,7,24,50
12544811,a week ago,2016-05-21,6,23,44
8372906,today,2016-05-21,6,10,25
3248292,yesterday,2016-05-17,1,14,14
8523245,today,2016-05-17,9,21,21
11721881,yesterday,2016-05-18,2,16,46
6505157,2 days ago,2016-05-18,15,34,64
12935565,a week ago,2016-05-18,23,53,83
12090697,2 days ago,2016-05-18,16,31,61
4753876,3 weeks ago,2016-05-18,2,6,17
10014299,4 weeks ago,2016-05-18,0,0,0
5861069,12 months ago,2016-05-19,0,0,0
