id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3938061,Cozy triplex in Sunnyside Highlands,20378958,Jason,Sunnyside,39.77708886,-105.0068462,Private room,69,1,53,5/6/2016,2.56,1,362
7665310,"Sunnyside Up in Heart♡ Denver, CO",38799445,Corinna,Sunnyside,39.77155049,-105.0033079,Entire home/apt,199,1,13,5/8/2016,1.64,1,293
7177782,New Contemporary Highlands Home,19740206,Jenna,Sunnyside,39.76975406,-105.0001123,Private room,99,1,15,4/1/2016,1.43,1,20
4615413,Cozy House Close to Downtown 2BR,21544462,Angie,Sunnyside,39.77069176,-105.0003482,Entire home/apt,144,2,5,4/22/2016,1.34,2,252
3115132,Trendy Condo in Sunnyside,15828719,Kate,Sunnyside,39.77154717,-105.0100853,Entire home/apt,110,2,43,4/4/2016,2.2,1,281
1911814,Suite Sunnyside (Highlands),4317724,Randall,Sunnyside,39.77194315,-105.0247781,Entire home/apt,99,2,60,5/16/2016,2.12,1,336
12649682,Charming Denver Highlands Bed&Bath,20696733,Maren,Highland,39.75857775,-105.022011,Private room,50,2,5,5/15/2016,5,1,22
4350744,Lohi luxury home- City views,22583496,Ben,Highland,39.76355851,-105.0103602,Entire home/apt,750,3,10,5/2/2016,0.55,2,348
217996,Highland Snug,10730,William,Highland,39.75706029,-105.0102175,Entire home/apt,167,2,5,1/2/2016,0.57,1,329
8213634,Cozy Highlands Bungalow,12882844,Michelle,Highland,39.76464899,-105.0215496,Entire home/apt,100,1,9,3/26/2016,1.11,1,350
12671803,2 Bedroom LoHi Condo with City View,66834672,Jaimie,Highland,39.75784763,-105.0136366,Entire home/apt,165,2,2,5/17/2016,2,1,34
5334219,Modern and Clean in Historic LoHi,27643890,Susan,Highland,39.76120597,-105.0173158,Entire home/apt,200,3,20,4/26/2016,1.52,1,294
7957393,Private Condo - LoHi / Downtown,37913508,Kenton,Highland,39.75900374,-105.0087884,Entire home/apt,90,1,3,9/14/2015,0.35,1,0
9027615,Lower Highlands Home w/ Backyard,23823390,Chelsea,Highland,39.76177695,-105.0163445,Entire home/apt,100,1,4,3/20/2016,0.62,1,347
9030735,Brand New Lohi 3bed*Rooftop Hottub,23724674,Danielle And Shane,Highland,39.76025726,-105.0097219,Entire home/apt,295,2,11,5/1/2016,1.86,2,324
