listing_id,date
10069202,2017-02-20
4931574,2016-09-25
4465308,2015-07-02
383689,2016-11-23
78831,2013-11-04
75957,2013-03-13
528338,2016-02-28
3649811,2014-10-21
864954,2016-01-19
2084090,2017-02-19
5021987,2016-03-29
8580777,2015-10-04
329306,2014-12-04
778502,2015-05-11
2774094,2017-02-16
4198303,2016-11-13
2296386,2014-07-10
960376,2016-03-20
4998371,2015-04-06
76501,2015-06-07
5281159,2016-01-30
1952273,2015-12-28
10430458,2016-03-28
5362658,2016-03-22
1901790,2016-03-10
10340419,2017-03-05
9281212,2016-04-11
6402505,2016-09-02
934389,2013-10-15
1248702,2013-09-05
5277499,2016-06-17
329306,2014-01-14
6850781,2016-06-06
2010358,2014-04-22
8925058,2015-12-07
368156,2016-04-25
4068884,2015-12-28
57187,2012-06-04
1737270,2016-07-24
3852874,2015-11-20
11210388,2016-04-10
951272,2016-01-08
690984,2015-06-07
294708,2014-01-21
365471,2013-12-31
5094445,2015-09-08
676959,2014-02-17
1255816,2014-04-21
327911,2016-04-02
6912389,2015-12-02
7308730,2016-10-20
753837,2015-07-06
7730776,2016-10-17
329306,2016-11-14
5281159,2017-01-29
7726673,2015-12-01
320466,2014-07-01
2500385,2015-01-05
5526127,2016-03-17
4496516,2016-05-01
223230,2015-01-08
1935282,2014-11-09
705858,2014-02-07
6431779,2016-04-12
2187256,2015-04-20
2326308,2016-07-31
6079005,2015-12-01
838496,2014-03-03
5601570,2017-03-01
1802053,2016-11-27
1880094,2016-05-07
5561157,2015-12-29
8253159,2015-11-23
14935286,2016-11-26
72706,2016-04-20
202187,2014-04-15
2304959,2016-07-09
768730,2014-03-12
5251657,2015-07-27
75174,2012-10-13
1213690,2016-09-07
942883,2014-10-20
846780,2015-11-01
4800040,2015-12-19
8131911,2016-01-03
6777032,2016-08-19
13685533,2016-10-04
11526853,2016-03-07
2231056,2016-04-29
4613275,2016-10-25
733203,2016-10-30
10340419,2016-11-11
9234951,2015-12-02
10251260,2016-06-24
11369999,2017-01-15
755676,2015-12-07
4511259,2016-12-04
8775493,2016-03-08
13185122,2016-06-27
8355807,2016-10-24
541267,2014-10-28
949922,2016-07-22
948038,2016-05-30
2502263,2014-11-05
7747487,2016-06-27
354542,2014-05-19
6184106,2016-01-06
271052,2012-03-13
349447,2016-09-21
936401,2016-03-22
1737139,2015-03-16
3979017,2015-04-13
1640231,2015-01-02
4800040,2015-11-20
17015610,2017-03-03
8308227,2016-08-16
11657941,2016-10-30
304808,2013-06-24
4906733,2015-06-05
2336183,2014-10-27
16677799,2017-02-26
11412040,2016-03-19
5438680,2015-04-12
3432834,2014-07-29
10248085,2016-04-24
327911,2012-11-29
14636770,2016-10-07
1560394,2016-02-16
961883,2013-07-08
4286402,2016-03-06
5539034,2016-09-06
8294952,2016-10-02
11658564,2016-07-03
7747487,2017-01-21
5438680,2016-04-17
4932558,2015-10-11
3811792,2017-01-25
2842204,2016-11-27
68130,2015-04-30
12905622,2017-02-10
13095169,2016-10-06
3121816,2016-03-17
12847393,2016-09-26
5132083,2016-06-19
4203481,2014-10-30
720616,2014-04-01
321636,2016-07-19
8285130,2016-01-24
4465308,2015-08-31
14334268,2016-11-17
244785,2012-05-23
354542,2015-09-21
6938778,2016-03-19
7916009,2016-08-07
337414,2016-04-23
256464,2015-04-14
3775485,2017-01-09
2461589,2015-10-03
1248702,2016-10-24
1327668,2017-01-16
12107296,2017-02-27
70812,2011-10-28
277028,2013-02-07
1895753,2017-02-10
7651087,2016-12-03
5619018,2015-10-09
900579,2014-03-05
166561,2011-10-13
13879477,2016-10-11
1007322,2016-03-20
5251657,2015-11-16
12534356,2016-09-21
13843877,2016-09-18
1511053,2016-02-21
1935282,2015-07-06
4966926,2016-05-20
1717328,2014-05-21
8363877,2016-04-16
2484025,2016-11-27
1166854,2013-11-18
1402358,2016-04-05
949922,2013-12-16
5307653,2017-02-19
333857,2015-06-03
353261,2015-10-05
1305257,2015-02-02
15507252,2017-02-12
16121062,2017-01-29
1166854,2016-05-04
76497,2016-05-17
2266768,2015-11-16
4054044,2016-11-13
6514455,2016-08-22
8269189,2017-02-21
753884,2015-10-25
2512205,2014-05-27
4670487,2016-05-22
528338,2015-10-13
10635135,2016-10-12
7747837,2017-01-10
5438705,2016-10-07
4638185,2015-03-23
15617030,2016-11-13
8880973,2016-05-20
16236845,2017-02-03
78831,2013-03-13
5239779,2015-03-16
8925058,2016-03-08
8506283,2017-01-16
357529,2015-08-03
10190156,2016-03-17
2454556,2015-06-22
15498881,2017-01-02
4279079,2016-06-01
7873987,2016-03-06
11611189,2016-10-24
7636391,2016-03-17
11220716,2017-01-01
2514832,2014-03-20
13298454,2016-10-14
7660842,2016-11-12
4295585,2017-02-05
7836824,2015-12-30
2174970,2015-08-09
11903839,2017-01-22
78974,2016-02-23
6391710,2016-01-05
11112402,2016-08-28
2123078,2015-08-04
5077502,2015-03-30
5417341,2016-07-17
783943,2014-03-08
4974255,2017-01-06
14765,2013-03-12
383689,2016-10-23
219202,2015-07-27
664013,2015-11-01
383689,2013-05-18
907229,2014-06-11
2967570,2016-07-31
2208270,2016-10-04
2349447,2014-07-29
2124067,2014-10-09
1618754,2014-03-09
4288403,2015-08-05
14341733,2016-08-26
280440,2014-04-28
7542470,2016-01-17
7620169,2017-02-19
14937000,2017-02-12
5718552,2016-04-05
14691034,2016-10-30
3424259,2017-02-04
15202204,2016-11-06
14587157,2016-10-24
2918188,2016-04-02
1935282,2017-02-19
6445962,2015-10-08
1499714,2014-03-29
959555,2016-04-24
7824911,2017-01-29
10208942,2016-06-12
5132094,2015-02-24
5256761,2016-05-10
296286,2012-05-06
8775493,2016-03-27
3862246,2015-09-20
9712541,2016-11-13
68130,2011-01-19
4156372,2015-10-27
2918188,2016-01-14
1776078,2015-07-20
14806892,2017-02-12
4196884,2016-08-20
669469,2016-04-09
10789137,2016-03-17
6499425,2016-06-12
14343051,2016-11-07
7837707,2017-03-05
2411898,2014-10-21
8349240,2015-11-09
3363810,2015-12-20
102306,2012-03-20
8609602,2016-10-16
813709,2013-12-01
905360,2014-09-22
14927066,2016-11-02
5682215,2017-02-14
4555867,2016-12-07
1880094,2014-11-03
1623007,2014-10-25
5083004,2017-01-20
365591,2016-05-02
949922,2017-02-02
13239834,2016-06-11
56690,2011-04-18
15157293,2016-11-03
7859914,2016-11-20
10768278,2016-05-01
8717916,2017-01-20
4555867,2016-01-16
7093256,2015-07-26
11864770,2016-04-05
4198303,2015-04-10
333856,2016-08-15
632659,2015-04-25
1872960,2016-05-23
7698283,2016-06-12
6912389,2016-10-22
907229,2015-09-15
244785,2012-07-09
1822588,2015-01-26
14632346,2016-11-06
13239065,2016-08-24
5020354,2015-07-05
78974,2016-12-08
9383208,2016-06-12
345536,2016-07-04
4214076,2015-03-30
8253891,2016-08-15
587572,2016-12-07
2315963,2016-06-28
1645518,2014-08-21
15202419,2016-10-10
6900540,2016-11-12
15617030,2017-02-04
4596762,2015-05-05
2514832,2015-11-22
10328386,2016-12-20
2702956,2014-10-21
1462557,2016-04-25
2390109,2017-02-20
1255816,2016-10-04
8596124,2016-12-30
6423278,2015-08-22
16312903,2017-02-11
1402358,2015-07-07
141550,2016-06-12
1612438,2016-06-13
4872607,2016-07-02
7837707,2016-11-11
4511259,2016-01-25
934389,2015-10-27
5201521,2015-05-11
7340463,2015-10-24
1954814,2016-10-07
996332,2015-08-01
230933,2014-09-20
