id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11396516,Bedroom in 2/2 House in Hyde Park,14334696,Olivia,,78751,30.306821610441503,-97.73288207481622,Private room,125,1,0,,,1,0
14216998,Historic Hyde Park Home Sleeps 2 in Private Room,27613056,Austin,,78751,30.307681026950757,-97.73027564061528,Private room,110,1,0,,,1,172
17408279,Entire Apartment for SXSW Getaway,2721177,Jenny,,78751,30.304228338257428,-97.74065901820488,Entire home/apt,300,3,0,,,1,17
11321907,1 Bedroom in Hyde Park for SXSW,39810899,Andrea,,78751,30.305268677590934,-97.74006743321212,Entire home/apt,200,5,0,,,1,0
13404978,Private room in Austin (single or double),28920096,Dierdra,,78751,30.314713180028647,-97.71041185886675,Private room,100,1,2,2016-07-03,0.23,1,0
5673145,"Monthly rental. Fab, Fun space!",1883744,Nancy,,78751,30.311862001734,-97.72486578535373,Private room,74,7,1,2016-10-01,0.19,3,339
5524129,Luxury Gated Community Apartment,18798811,Caroline,,78751,30.30489760754978,-97.73915384571474,Entire home/apt,400,1,0,,,2,0
11554660,Single room with attached bathroom,61011394,Asif,,78751,30.307070990926036,-97.72042816480229,Private room,29,1,0,,,1,0
16994912,Sunlit Oasis,2764621,Breanna,,78751,30.30814964739959,-97.72754310497429,Private room,50,1,0,,,2,171
3165478,"Central Austin, historic, walkable",16051277,Richard,,78751,30.306473258989907,-97.73098111041548,Private room,75,2,23,2017-03-06,0.79,1,45
2532718,Cheery room in a cute 50s house,12971760,Syed,,78751,30.316127606842205,-97.70905282505605,Private room,110,1,0,,,1,0
11531248,Hyde Park sassifrass,18988973,Colleen,,78751,30.3116834129939,-97.71924383900293,Private room,65,2,5,2016-10-09,0.53,1,39
299282,Beautiful Hyde Park Home near UT,1541934,Margo,,78751,30.309440065410882,-97.73180773697395,Private room,57,1,30,2016-12-28,0.49,3,352
8697200,Charming room with private entrance,24792503,Justine,,78751,30.3131239958189,-97.71107892512643,Private room,60,3,13,2016-10-09,0.76,2,320
